15/12/05 11:29
プロジェクトの翻訳状況

            	 分節数	  単語数	文字数（空白を除く）	文字数（空白を含む）	ファイル数	
合計：         	5128	43939	    237931	    276938	  153	
未翻訳：        	1736	20223	    105317	    123348	   33	
繰り返しを除いた：   	4237	41655	    225669	    263236	  150	
繰り返しを除いた未翻訳：	1614	19762	    102470	    119975	   33	


ファイルごとの翻訳状況：

ファイル名                                                                                 	すべての分節数	未翻訳分節数	繰り返しを除いた分節数	繰り返しを除いた未翻訳分節数	すべての単語数	未翻訳単語数	繰り返しを除いた単語数	繰り返しを除いた未翻訳単語数	すべての文字数（空白を除く）	未翻訳文字数（空白を除く）	繰り返しを除いた文字数（空白を除く）	繰り返しを除いた未翻訳文字数（空白を除く）	すべての文字数（空白を含む）	未翻訳文字数（空白を含む）	繰り返しを除いた文字数（空白を含む）	繰り返しを除いた未翻訳文字数（空白を含む）	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/splats_and_tuples.md                	     12	     0	         11	             0	     87	     0	         86	             0	           441	            0	               438	                    0	           514	            0	               511	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/structs.md                          	     13	     0	         11	             0	    177	     0	        171	             0	           932	            0	               901	                    0	          1078	            0	              1045	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/ternary_if.md                       	      8	     0	          4	             0	     33	     0	         29	             0	           119	            0	               106	                    0	           150	            0	               137	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/the_program.md                      	     43	     0	         31	             0	    241	     0	        212	             0	          1071	            0	               972	                    0	          1259	            0	              1148	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/truthy_and_falsey_values.md         	      5	     0	          5	             0	     56	     0	         56	             0	           269	            0	               269	                    0	           321	            0	               321	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/type_grammar.md                     	     70	     0	         64	             0	    482	     0	        460	             0	          2984	            0	              2913	                    0	          3396	            0	              3309	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/type_reflection.md                  	      2	     0	          2	             0	     13	     0	         13	             0	            85	            0	                85	                    0	            97	            0	                97	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/type_restrictions.md                	     95	     0	         79	             0	    801	     0	        757	             0	          4160	            0	              3959	                    0	          4889	            0	              4668	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/typeof.md                           	     18	     0	         15	             0	    153	     0	        149	             0	           901	            0	               887	                    0	          1026	            0	              1012	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/types_and_methods.md                	      2	     0	          2	             0	     40	     0	         40	             0	           310	            0	               310	                    0	           333	            0	               333	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/unless.md                           	     10	     0	          9	             0	     62	     0	         54	             0	           362	            0	               324	                    0	           409	            0	               364	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/unsafe.md                           	     12	     0	         11	             0	    151	     0	        149	             0	           949	            0	               938	                    0	          1084	            0	              1072	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/until.md                            	      8	     0	          8	             0	     49	     0	         49	             0	           262	            0	               262	                    0	           301	            0	               301	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/virtual_and_abstract_types.md       	     49	     0	         38	             0	    397	     0	        379	             0	          2061	            0	              1963	                    0	          2413	            0	              2305	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/visibility.md                       	     55	     0	         38	             0	    288	     0	        252	             0	          1550	            0	              1344	                    0	          1789	            0	              1572	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/while.md                            	     25	     0	         20	             0	    207	     0	        196	             0	          1000	            0	               925	                    0	          1179	            0	              1097	                    0	
crystal-jp-gh-pages/_gitbook/using_the_compiler/README.md                             	     66	     0	         66	             0	    436	     0	        436	             0	          2670	            0	              2670	                    0	          3564	            0	              3564	                    0	
crystal-jp-gh-pages/_includes/sample_code.md                                          	      4	     0	          3	             0	     33	     0	         27	             0	           233	            0	               193	                    0	           256	            0	               212	                    0	
crystal-jp-gh-pages/_posts/2013-07-10-hello-world.md                                  	     22	    19	         19	            19	    191	   185	        185	           185	          1118	         1089	              1089	                 1089	          1272	         1242	              1242	                 1242	
crystal-jp-gh-pages/_posts/2013-07-13-null-pointer-exception.md                       	     86	    84	         72	            72	    628	   624	        599	           599	          3488	         3474	              3245	                 3245	          3975	         3961	              3716	                 3716	
